time,CO
0.316,0.068
0.598,0.202
0.919,0.272
1.216,0.196
1.458,0.072
1.768,0.055
2.07,0.052
2.371,0.029
2.673,0.021
2.974,0.045
3.276,0.059
3.577,0.057
3.878,0.045
4.18,0.051
4.481,0.053
4.783,0.038
5.084,0.046
5.386,0.024
5.687,0.031
5.989,0.027
6.29,0.036
6.592,0.041
6.893,0.069
7.218,0.086
7.477,0.138
7.798,0.179
8.099,0.187
8.4,0.188
8.702,0.188
9.017,0.109
9.286,0.063
9.606,0.051
9.908,0.043
10.209,0.065
10.519,0.096
10.812,0.174
11.114,0.188
11.415,0.179
11.717,0.156
12.018,0.145
12.321,0.081
12.517,-0.009
12.809,-0.011
13.061,0.007
13.414,0.121
13.69,0.182
13.991,0.274
14.293,0.276
14.594,0.235
14.782,0.064
15.087,0.069
15.389,0.056
15.69,0.056
15.923,0.021
15.975,0.231
16.207,0.474
16.403,0.564
16.651,0.48
16.812,0.383
17.067,0.359
17.301,0.244
17.56,0.157
17.804,0.116
18.086,0.105
18.381,0.064
18.678,0.024
18.979,0.015
19.281,0.024
19.582,0.034
19.883,0.042
20.185,0.03
20.486,0.019
20.788,0.024
21.089,0.026
21.391,0.044
21.692,0.04
21.994,0.038
22.295,0.03
22.597,0.039
22.898,0.036
23.2,0.044
23.501,0.051
23.802,0.057
24.104,0.053
24.405,0.048
24.707,0.019
25.008,0.01
25.31,0.029
25.611,0.053
25.913,0.014
26.214,0.048
26.516,0.033
26.817,-0.006
27.119,-0.002
