time,current
0.246,-0.108
0.547,-0.143
0.849,-0.143
1.102,1.155
1.137,-0.039
1.146,1.564
1.151,2.622
1.157,3.68
1.163,4.738
1.169,5.796
1.174,6.854
1.18,7.912
1.186,8.97
1.274,10.794
1.595,11.206
1.896,11.206
2.198,11.206
2.499,11.206
2.801,11.206
3.102,11.206
3.404,11.206
3.705,11.206
4.007,11.206
4.308,11.206
4.61,11.206
4.911,11.206
5.213,11.206
5.514,11.206
5.815,11.206
6.117,11.206
6.418,11.206
6.72,11.206
6.938,10.908
6.96,9.908
6.98,8.547
7.028,7.272
7.072,6.093
7.165,4.864
7.338,3.813
7.635,2.922
7.933,2.283
8.232,1.868
8.532,1.575
8.844,1.715
8.882,5.483
8.923,3.961
8.924,5.82
8.93,6.878
8.936,7.936
8.942,8.994
9.03,10.801
9.351,11.206
9.652,11.206
9.954,11.206
10.255,11.171
10.434,9.635
10.459,10.93
10.464,8.401
10.524,7.647
10.574,6.188
10.742,4.853
11.01,3.844
11.308,3.153
11.607,2.677
11.907,2.336
12.218,2.109
12.401,7.599
12.406,3.502
12.407,2.138
12.412,4.56
12.421,6.18
12.444,7.936
12.457,9.344
12.529,11.04
12.831,11.206
13.133,11.206
13.434,11.206
13.721,11.028
13.797,9.795
13.858,8.365
13.974,7.086
14.146,6.026
14.36,5.045
14.629,4.058
14.926,3.267
15.225,2.655
15.523,2.187
15.722,3.367
15.742,2.111
15.765,3.704
15.77,4.762
15.776,5.82
15.788,9.005
15.789,7.228
15.811,9.811
15.873,11.04
16.174,11.093
16.361,10.209
16.38,8.552
16.396,7.399
16.421,11.126
16.476,6.018
16.597,4.517
16.817,3.282
17.087,2.397
17.385,1.829
17.685,1.461
17.985,1.203
18.226,-10.001
18.229,0.853
18.232,-8.943
18.237,-7.885
18.243,-6.827
18.249,-5.769
18.254,-4.712
18.26,-3.654
18.266,-2.596
18.271,-1.538
18.286,-11.3
18.287,-0.383
18.602,-11.492
18.903,-11.492
19.205,-11.492
19.506,-11.492
19.807,-11.492
20.109,-11.492
20.41,-11.492
20.712,-11.492
21.013,-11.492
21.315,-11.492
21.616,-11.492
21.918,-11.492
22.219,-11.492
22.521,-11.492
22.822,-11.492
23.124,-11.492
23.425,-11.492
23.726,-11.492
24.028,-11.492
24.329,-11.492
24.631,-11.492
24.932,-11.492
25.234,-11.492
25.535,-11.492
25.837,-11.492
26.138,-11.492
26.44,-11.492
26.7,-11.236
26.72,-5.289
26.731,-8.215
26.751,-6.691
26.757,-9.756
26.777,0.194
26.777,-4.865
26.782,-3.807
26.788,-2.749
26.819,-1.137
26.819,0.53
26.825,1.588
26.831,2.646
26.836,3.704
26.842,4.762
26.848,5.82
26.854,6.878
26.859,7.936
26.865,8.994
26.953,10.801
27.274,11.206
27.466,11.238
