time,voltage
0.105,2.793
0.425,2.781
0.727,2.816
1.001,2.875
1.042,2.963
1.056,3.388
1.069,3.187
1.069,3.102
1.069,3.017
1.079,3.29
1.083,3.517
1.083,3.432
1.178,3.67
1.494,3.702
1.796,3.711
2.097,3.72
2.399,3.728
2.7,3.738
3.002,3.747
3.303,3.757
3.604,3.769
3.906,3.781
4.207,3.793
4.509,3.808
4.81,3.825
5.112,3.843
5.413,3.866
5.715,3.891
6.016,3.919
6.318,3.948
6.619,3.977
6.921,3.994
7.222,3.996
7.523,3.994
7.825,3.994
8.126,3.994
8.428,3.994
8.718,3.997
9.031,4.04
9.332,4.082
9.634,4.123
9.935,4.159
10.237,4.188
10.538,4.196
10.84,4.195
11.141,4.195
11.442,4.195
11.744,4.195
12.045,4.195
12.35,4.213
12.648,4.25
12.95,4.29
13.251,4.335
13.553,4.38
13.876,4.396
14.156,4.396
14.457,4.396
14.759,4.396
15.06,4.396
15.362,4.396
15.66,4.426
15.951,4.52
16.239,4.586
16.54,4.597
16.841,4.597
17.143,4.597
17.444,4.597
17.746,4.597
18.047,4.594
18.269,4.493
18.499,4.388
18.76,4.306
19.061,4.243
19.363,4.205
19.664,4.178
19.966,4.153
20.267,4.125
20.569,4.089
20.87,4.051
21.172,4.01
21.473,3.971
21.774,3.932
22.076,3.892
22.377,3.852
22.679,3.812
22.98,3.773
23.282,3.739
23.583,3.713
23.885,3.688
24.186,3.665
24.488,3.641
24.789,3.615
25.091,3.585
25.392,3.55
25.693,3.505
25.981,3.436
26.214,3.353
26.392,3.263
26.57,3.173
26.649,3.088
26.721,3.018
