x,y
0.0,1.4904000000000002e-05
0.01,1.4904000000000002e-05
0.02,1.4904000000000002e-05
0.03,1.4904000000000002e-05
0.04,1.4904000000000002e-05
0.05,1.4904000000000002e-05
0.06,1.4904000000000002e-05
0.07,1.4904000000000002e-05
0.08,1.4904000000000002e-05
0.09,1.4904000000000002e-05
0.1,1.4904000000000002e-05
0.11,1.4904000000000002e-05
0.12,1.4904000000000002e-05
0.13,1.4904000000000002e-05
0.14,1.4904000000000002e-05
0.15,1.4904000000000002e-05
0.16,1.4904000000000002e-05
0.17,1.4904000000000002e-05
0.18,1.4904000000000002e-05
0.19,1.4904000000000002e-05
0.2,1.4904000000000002e-05
0.21,1.4904000000000002e-05
0.2157,1.4904000000000002e-05
0.2167,1.4768999999999999e-05
0.2177,1.466e-05
0.2187,1.4578000000000002e-05
0.2197,1.4520999999999999e-05
0.2207,1.4489e-05
0.2217,1.4482e-05
0.2227,1.4498e-05
0.2237,1.4538e-05
0.2247,1.4601e-05
0.2257,1.4686e-05
0.2267,1.4794000000000001e-05
0.2277,1.4922e-05
0.2287,1.5072e-05
0.2297,1.5242e-05
0.2307,1.5431000000000002e-05
0.2317,1.5640000000000003e-05
0.2327,1.5868e-05
0.2337,1.6115e-05
0.2347,1.6379e-05
0.2357,1.6660000000000003e-05
0.2367,1.6958000000000003e-05
0.2377,1.7273000000000002e-05
0.2387,1.7603e-05
0.2397,1.7949e-05
0.2407,1.8309e-05
0.2417,1.8683e-05
0.2427,1.9072e-05
0.2437,1.9473e-05
0.2447,1.9886999999999998e-05
0.2457,2.0314e-05
0.2467,2.0752e-05
0.2477,2.1201000000000003e-05
0.2487,2.1661e-05
0.2497,2.2131000000000002e-05
0.2507,2.2610000000000002e-05
0.2517,2.3099000000000004e-05
0.2527,2.3597e-05
0.2537,2.4101999999999997e-05
0.2547,2.4615e-05
0.2557,2.5135999999999998e-05
0.2567,2.5662999999999998e-05
0.2577,2.6195e-05
0.2587,2.6734000000000002e-05
0.2597,2.7277e-05
0.2607,2.7825e-05
0.2617,2.8377e-05
0.2627,2.8933000000000002e-05
0.2637,2.9491e-05
0.2647,3.0052e-05
0.2657,3.0615e-05
0.2667,3.1178e-05
0.2677,3.1736e-05
0.2687,3.2284e-05
0.2697,3.282e-05
0.2707,3.3338e-05
0.2717,3.3835e-05
0.2727,3.4305000000000004e-05
